living_area,street,street
73.0,street,Омеляновича-Павленка
0.0,Омеляновича-Павленка,
100.0,,Ованеса Туманяна
58.0,Ованеса Туманяна,Петропавлівська
79.0,Петропавлівська,Дніпровська
0.0,Дніпровська,Саксаганського
0.0,Саксаганського,Івана Мазепи
87.0,Івана Мазепи,Дніпровська
40.0,Дніпровська,Ділова
51.0,Ділова,Новодарницька
48.0,Новодарницька,Ревуцького
85.0,Ревуцького,Липківського
76.0,Липківського,Бендукідзе
56.0,Бендукідзе,Введенська
38.0,Введенська,Виноградний
70.0,Виноградний,Кайсарова
103.0,Кайсарова,Ахматової
0.0,Ахматової,Радченка
69.0,Радченка,Дніпровська
0.0,Дніпровська,Ділова
50.0,Ділова,Бориспільська
64.0,Бориспільська,Болсуновська
96.0,Болсуновська,Українки
46.0,Українки,Антонова
44.0,Антонова,Омеляновича-Павленка
100.0,Омеляновича-Павленка,
240.0,,Ованеса Туманяна
0.0,Ованеса Туманяна,Петропавлівська
75.0,Петропавлівська,Дніпровська
78.0,Дніпровська,Саксаганського
126.0,Саксаганського,Івана Мазепи
93.0,Івана Мазепи,Дніпровська
63.0,Дніпровська,Ділова
44.0,Ділова,Новодарницька
0.0,Новодарницька,Ревуцького
52.0,Ревуцького,Липківського
99.0,Липківського,Бендукідзе
96.0,Бендукідзе,Введенська
65.0,Введенська,Виноградний
50.0,Виноградний,Кайсарова
76.0,Кайсарова,Ахматової
0.0,Ахматової,Радченка
99.0,Радченка,Дніпровська
0.0,Дніпровська,Ділова
59.0,Ділова,Бориспільська
73.0,Бориспільська,Болсуновська
62.0,Болсуновська,Українки
76.0,Українки,Антонова
76.0,Антонова,Науки
210.0,Науки,Метрологічна
33.0,Метрологічна,Дружби Народів
0.0,Дружби Народів,*** not found
62.0,*** not found,Драгомирова
0.0,Драгомирова,Данченка
110.0,Данченка,Кримська
51.0,Кримська,Новопольова
44.0,Новопольова,Туполєва
91.0,Туполєва,*** not found
28.0,*** not found,Дніпровська
56.0,Дніпровська,Перемоги
0.0,Перемоги,Івана Федорова
100.0,Івана Федорова,Братиславська
82.0,Братиславська,*** not found
122.0,*** not found,Червоноткацька
45.0,Червоноткацька,Златоустівська
75.0,Златоустівська,Бойченка
34.0,Бойченка,Трускавецька
46.0,Трускавецька,Каховська
100.0,Каховська,Лобановського
99.0,Лобановського,*** not found
75.0,*** not found,Курчатова
62.0,Курчатова,Голосіївська
76.0,Голосіївська,Тираспольська
210.0,Тираспольська,Лаврська
33.0,Лаврська,Правди
0.0,Правди,Миколайчука
62.0,Миколайчука,Порика
0.0,Порика,Червоноткацька
110.0,Червоноткацька,Маккейна
51.0,Маккейна,Йорданська
44.0,Йорданська,Тютюнника
91.0,Тютюнника,Регенераторна
28.0,Регенераторна,Зарічна
56.0,Зарічна,Заболотного
0.0,Заболотного,Курнатовського
100.0,Курнатовського,Інститутська
82.0,Інститутська,Маланюка
122.0,Маланюка,Гречка
45.0,Гречка,Липківського
75.0,Липківського,Маккейна
34.0,Маккейна,Григоренка
46.0,Григоренка,Коновальця
100.0,Коновальця,Закревського
99.0,Закревського,*** not found
75.0,*** not found,Старонаводницька
62.0,Старонаводницька,Маланюка
72.0,Маланюка,Заньковецької
0.0,Заньковецької,Кудрявська
159.0,Кудрявська,
76.0,,Українки
0.0,Українки,
44.0,,Милославська
95.0,Милославська,Донця
240.0,Донця,Верховинця
36.0,Верховинця,Героїв Дніпра
50.0,Героїв Дніпра,Каховська
71.0,Каховська,Каховська
0.0,Каховська,Вишняківська
0.0,Вишняківська,Липська
123.0,Липська,Сверстюка
74.0,Сверстюка,Драгомирова
81.0,Драгомирова,Причальна
43.0,Причальна,Болсуновська
84.0,Болсуновська,Повітрофлотський
46.0,Повітрофлотський,Драгоманова
55.0,Драгоманова,Григоренка
136.0,Григоренка,Дніпровська
0.0,Дніпровська,Жабаєва
136.0,Жабаєва,Філатова
41.0,Філатова,Правди
71.0,Правди,Малопідвальна
57.0,Малопідвальна,Бойчука
149.0,Бойчука,Зарічна
50.0,Зарічна,Предславинська
75.0,Предславинська,Івана Мазепи
92.0,Івана Мазепи,Радченка
60.0,Радченка,Лабораторний
0.0,Лабораторний,Конєва
0.0,Конєва,Шаповала
55.0,Шаповала,Дніпровська
83.0,Дніпровська,Клеманська
55.0,Клеманська,Григоренка
36.0,Григоренка,Туполєва
65.0,Туполєва,Хмельницького
112.0,Хмельницького,Саперне Поле
50.0,Саперне Поле,Героїв Сталінграда
68.0,Героїв Сталінграда,Дніпровська
85.0,Дніпровська,Тарасівська
51.0,Тарасівська,Краківська
46.0,Краківська,Юнацька
207.0,Юнацька,Клеманська
130.0,Клеманська,Героїв Сталінграда
81.0,Героїв Сталінграда,Драгомирова
41.0,Драгомирова,*** not found
50.0,*** not found,Драгоманова
54.0,Драгоманова,Українки
83.0,Українки,Тимошенка
81.0,Тимошенка,Маяковського
44.0,Маяковського,Дмитрівська
90.0,Дмитрівська,Курбаса
79.0,Курбаса,Комарова
43.0,Комарова,Драгоманова
51.0,Драгоманова,Драгомирова
0.0,Драгомирова,Моторний
0.0,Моторний,Милославська
110.0,Милославська,Бойчука
106.0,Бойчука,Закревського
72.0,Закревського,Івана Федорова
122.0,Івана Федорова,Філатова
67.0,Філатова,Перемоги
273.0,Перемоги,Миропільська
83.0,Миропільська,Григоренка
45.0,Григоренка,Юнацька
0.0,Юнацька,Вишгородська
0.0,Вишгородська,Жолудєва
49.0,Жолудєва,Павлівська
0.0,Павлівська,Голосіївський
183.0,Голосіївський,Осокорська
0.0,Осокорська,Вишгородська
76.0,Вишгородська,Драгомирова
160.0,Драгомирова,Тютюнника
0.0,Тютюнника,Маккейна
0.0,Маккейна,Івана Мазепи
